groupsize,protocol,operation,clientrole,setuptime,operationtime
32,FULL,remove,SENDER,10.864154,10.729211
32,FULL,remove,RECIPIENT,12.135966,0.80443
32,FULL,remove,RECIPIENT,11.357494,11.065306
32,FULL,remove,RECIPIENT,12.002952,11.211777
32,FULL,remove,RECIPIENT,12.003764,11.372348
32,FULL,remove,RECIPIENT,11.675995,10.71583
32,FULL,remove,RECIPIENT,11.760993,11.231174
32,FULL,remove,RECIPIENT,11.94797,11.388457
32,FULL,remove,RECIPIENT,11.915116,11.728774
32,FULL,remove,RECIPIENT,11.373218,10.869884
32,FULL,remove,RECIPIENT,12.016028,10.813153
32,FULL,remove,RECIPIENT,11.889439,10.784977
32,FULL,remove,RECIPIENT,11.76075,10.190147
32,FULL,remove,RECIPIENT,10.42377,10.74477
32,FULL,remove,RECIPIENT,11.945606,11.112996
32,FULL,remove,RECIPIENT,11.330135,10.133781
32,FULL,remove,RECIPIENT,11.437262,11.679007
32,FULL,remove,RECIPIENT,10.358297,11.111213
32,FULL,remove,RECIPIENT,11.813993,10.614925
32,FULL,remove,RECIPIENT,12.107304,11.078232
32,FULL,remove,RECIPIENT,11.980027,10.968473
32,FULL,remove,RECIPIENT,10.707727,11.048629
32,FULL,remove,RECIPIENT,11.848029,10.817893
32,FULL,remove,RECIPIENT,11.798343,11.663254
32,FULL,remove,RECIPIENT,11.633771,10.752279
32,FULL,remove,RECIPIENT,12.308081,10.991854
32,FULL,remove,RECIPIENT,11.462385,10.891938
32,FULL,remove,RECIPIENT,11.676615,11.20538
32,FULL,remove,RECIPIENT,11.977132,10.921258
32,FULL,remove,RECIPIENT,11.208506,11.211332
32,FULL,remove,RECIPIENT,11.854882,11.072378
32,FULL,remove,RECIPIENT,12.002504,10.984402
11,FULL,message,SENDER,2.906561,0.104278
11,FULL,message,RECIPIENT,4.452855,0.732452
11,FULL,message,RECIPIENT,5.001175,0.753182
11,FULL,message,RECIPIENT,4.961889,0.461657
11,FULL,message,RECIPIENT,4.609311,0.808394
11,FULL,message,RECIPIENT,4.492483,0.503621
11,FULL,message,RECIPIENT,4.688779,0.809276
11,FULL,message,RECIPIENT,4.886797,0.696212
11,FULL,message,RECIPIENT,4.722025,0.390276
11,FULL,message,RECIPIENT,4.033272,0.428675
11,FULL,message,RECIPIENT,4.684129,0.751562
22,FULL,message,SENDER,6.780887,0.084136
22,FULL,message,RECIPIENT,8.908787,0.310493
22,FULL,message,RECIPIENT,8.307423,0.496126
22,FULL,message,RECIPIENT,8.100907,0.411032
22,FULL,message,RECIPIENT,8.344191,0.534393
22,FULL,message,RECIPIENT,8.126284,0.578208
22,FULL,message,RECIPIENT,8.32881,0.402971
22,FULL,message,RECIPIENT,8.525053,0.4216
22,FULL,message,RECIPIENT,8.426547,0.55674
22,FULL,message,RECIPIENT,8.205794,0.424369
22,FULL,message,RECIPIENT,8.409242,0.621251
22,FULL,message,RECIPIENT,8.346564,0.406202
22,FULL,message,RECIPIENT,8.146766,0.572952
22,FULL,message,RECIPIENT,8.428786,0.379576
22,FULL,message,RECIPIENT,8.443606,0.527371
22,FULL,message,RECIPIENT,7.98552,0.435723
22,FULL,message,RECIPIENT,8.329572,0.505037
22,FULL,message,RECIPIENT,8.051508,0.405522
22,FULL,message,RECIPIENT,8.216734,0.549491
22,FULL,message,RECIPIENT,7.676659,0.406977
22,FULL,message,RECIPIENT,7.725541,0.436932
22,FULL,message,RECIPIENT,8.870584,0.633863
64,FULL,remove,SENDER,20.831407,21.107401
64,FULL,remove,RECIPIENT,24.537074,1.163548
64,FULL,remove,RECIPIENT,23.150187,22.95057
64,FULL,remove,RECIPIENT,23.095136,22.143403
64,FULL,remove,RECIPIENT,23.23975,23.008617
64,FULL,remove,RECIPIENT,23.07472,22.844613
64,FULL,remove,RECIPIENT,23.926066,22.859934
64,FULL,remove,RECIPIENT,23.905485,23.100613
64,FULL,remove,RECIPIENT,23.845566,22.738493
64,FULL,remove,RECIPIENT,23.578098,22.684994
64,FULL,remove,RECIPIENT,23.530762,22.287288
64,FULL,remove,RECIPIENT,24.145856,23.180643
64,FULL,remove,RECIPIENT,23.576191,22.430226
64,FULL,remove,RECIPIENT,23.126577,23.675768
64,FULL,remove,RECIPIENT,23.380805,21.953842
64,FULL,remove,RECIPIENT,23.21059,21.44048
64,FULL,remove,RECIPIENT,23.135288,22.676225
64,FULL,remove,RECIPIENT,23.545352,23.0151
64,FULL,remove,RECIPIENT,21.713546,22.653633
64,FULL,remove,RECIPIENT,24.029189,22.251302
64,FULL,remove,RECIPIENT,23.127217,22.302125
64,FULL,remove,RECIPIENT,23.858705,22.567892
64,FULL,remove,RECIPIENT,23.016258,23.224345
64,FULL,remove,RECIPIENT,24.203938,23.040966
64,FULL,remove,RECIPIENT,23.604713,22.441125
64,FULL,remove,RECIPIENT,23.476026,23.022549
64,FULL,remove,RECIPIENT,23.328212,23.279514
64,FULL,remove,RECIPIENT,23.424193,22.927069
64,FULL,remove,RECIPIENT,23.619492,22.65786
64,FULL,remove,RECIPIENT,22.774182,22.831661
64,FULL,remove,RECIPIENT,23.514599,22.89616
64,FULL,remove,RECIPIENT,23.141534,22.96141
64,FULL,remove,RECIPIENT,23.322695,22.23035
64,FULL,remove,RECIPIENT,20.524351,22.932651
64,FULL,remove,RECIPIENT,22.602102,22.424761
64,FULL,remove,RECIPIENT,23.610573,23.118806
64,FULL,remove,RECIPIENT,23.907973,22.674539
64,FULL,remove,RECIPIENT,22.364605,22.546617
64,FULL,remove,RECIPIENT,23.395387,22.402928
64,FULL,remove,RECIPIENT,23.671526,23.002764
64,FULL,remove,RECIPIENT,23.20309,22.252683
64,FULL,remove,RECIPIENT,23.599534,22.647445
64,FULL,remove,RECIPIENT,23.756594,22.722254
64,FULL,remove,RECIPIENT,23.273353,23.212265
64,FULL,remove,RECIPIENT,23.053076,22.595621
64,FULL,remove,RECIPIENT,21.786623,21.341571
64,FULL,remove,RECIPIENT,23.880293,23.35519
64,FULL,remove,RECIPIENT,23.245014,23.429081
64,FULL,remove,RECIPIENT,22.960991,22.691014
64,FULL,remove,RECIPIENT,23.597692,22.882729
64,FULL,remove,RECIPIENT,23.693899,21.660641
64,FULL,remove,RECIPIENT,23.570739,23.033264
64,FULL,remove,RECIPIENT,22.986416,22.812403
64,FULL,remove,RECIPIENT,21.808595,22.712481
64,FULL,remove,RECIPIENT,22.483677,22.226375
64,FULL,remove,RECIPIENT,23.707056,22.834707
64,FULL,remove,RECIPIENT,23.775095,22.493514
64,FULL,remove,RECIPIENT,23.799543,22.094794
64,FULL,remove,RECIPIENT,24.264788,22.50833
64,FULL,remove,RECIPIENT,22.707825,22.942026
