groupsize,protocol,operation,setupsentbytes,operationsentbytes
32,FULL,remove,10916.0,9738.0
11,FULL,message,3606.0,171.0
22,FULL,message,7436.0,171.0
64,FULL,remove,22115.0,19914.0
32,FULL,remove,10916.0,9738.0
128,FULL,add,44454.0,77306.0
22,FULL,message,7436.0,171.0
11,FULL,message,3606.0,171.0
16,FULL,message,5348.0,171.0
11,FULL,update,3606.0,3343.0
8,FULL,add,2562.0,3746.0
8,FULL,add,2562.0,3746.0
45,FULL,message,15440.0,171.0
128,FULL,update,44454.0,40553.0
22,FULL,add,7436.0,9873.0
22,FULL,message,7436.0,171.0
22,FULL,message,7436.0,171.0
64,FULL,remove,22115.0,19914.0
8,FULL,remove,2562.0,2105.0
128,FULL,add,44454.0,77306.0
22,FULL,update,7436.0,6842.0
11,FULL,remove,3606.0,3059.0
11,FULL,remove,3606.0,3059.0
32,FULL,remove,10916.0,9738.0
22,FULL,message,7436.0,171.0
45,FULL,remove,15440.0,13872.0
32,FULL,message,10916.0,171.0
90,FULL,message,31192.0,171.0
90,FULL,remove,31192.0,28182.0
8,FULL,add,2562.0,3746.0
128,FULL,update,44454.0,40553.0
8,FULL,message,2562.0,171.0
32,FULL,add,10916.0,14483.0
64,FULL,update,22115.0,20198.0
128,FULL,update,44454.0,40553.0
11,FULL,message,3606.0,171.0
128,FULL,update,44454.0,40553.0
90,FULL,remove,31192.0,28182.0
45,FULL,add,15440.0,20775.0
16,FULL,add,5348.0,7203.0
90,FULL,update,31192.0,28466.0
128,FULL,update,44454.0,40553.0
22,FULL,update,7436.0,6842.0
22,FULL,remove,7436.0,6558.0
45,FULL,remove,15440.0,13872.0
90,FULL,update,31192.0,28466.0
64,FULL,remove,22115.0,19914.0
22,FULL,message,7436.0,171.0
128,FULL,remove,44454.0,40269.0
64,FULL,update,22115.0,20198.0
22,FULL,remove,7436.0,6558.0
16,FULL,add,5348.0,7203.0
8,FULL,message,2562.0,171.0
32,FULL,remove,10916.0,9738.0
8,FULL,add,2562.0,3746.0
16,FULL,remove,5348.0,4649.0
8,FULL,add,2562.0,3746.0
64,FULL,remove,22115.0,19914.0
